2021-02-09 11:03:44 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1801a28c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:03:44 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@594b8673 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:03:44 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@76dbe4ea (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:03:44 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3cda2d4d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:31:33 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2ca79ece (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:31:33 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1b1bc88b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:31:33 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@17321c44 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:31:33 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@268f2eda (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:31:33 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@72c34e98 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:31:33 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@37599fdb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:31:33 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@308e7548 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:31:33 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6f28747d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:31:33 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@777408e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-02-09 11:31:33 |WARN  |http-nio-8081-exec-6 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7c2bb0fc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
