2021-01-28 12:44:04 |WARN  |http-nio-8160-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@17d5dd8a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:44:04 |WARN  |http-nio-8160-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@47a5ed5f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:44:04 |WARN  |http-nio-8160-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1d89abcd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:44:04 |WARN  |http-nio-8160-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@322bc0a8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:51:31 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@630cb9d5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:51:31 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@f3539f0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:51:31 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6573add3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:51:31 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@35a137f0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:51:31 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@24d7c675 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 12:51:31 |WARN  |http-nio-8160-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@28b91a6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
