2020-12-27 10:01:36 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4e65df7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:01:36 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@e860faae (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:01:36 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2ea8628 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:01:36 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7c9ce919 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:01:36 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3891b081 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:01:36 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@8331cc47 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:01:36 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@76de1ea9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:01:36 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@b3eb4256 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:01:36 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1a853083 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:08:49 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@b3438a9b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:08:49 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@abe360b0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:08:49 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@441739c7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:08:49 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@a677ed70 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2020-12-27 10:08:49 |WARN  |http-nio-8081-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@91c3f957 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
