2021-01-28 13:32:18 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7c87d070 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:32:18 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1f58844c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:32:18 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1dddbca0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:32:18 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@34f47a6f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:32:18 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@76b228d1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:32:18 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2d13b8af (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:32:18 |WARN  |http-nio-8081-exec-10 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5d5b2911 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:35:46 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2df84afb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:35:46 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6f5755b8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:35:46 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3e8538d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:35:46 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@55bf6397 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:35:46 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4afb7792 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:35:46 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1f5411e0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:35:46 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5ee15dbc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:35:46 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@70ec3e2c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:35:46 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@613a9044 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:35:46 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5e5e4692 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:41:22 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1b8aae7a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:41:22 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5d4e0e4f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-28 13:41:22 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@212181da (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
