2021-01-22 20:02:47 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3ec9186 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:02:47 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7507b4f9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:02:47 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@33f6c197 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:02:47 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@43a5ec53 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:02:47 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@24223500 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:02:47 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6ccaed01 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:02:47 |WARN  |http-nio-8081-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@69356376 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:07:54 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@30a172e1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:07:54 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4820d33a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:07:54 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@69617e52 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:07:54 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3626ae78 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:07:54 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@75a91422 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:07:54 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3bdea0ae (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:07:54 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@592fca69 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:07:54 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5a79ea5a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-22 20:07:54 |WARN  |http-nio-8081-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@674cfd33 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
