2021-01-26 14:22:21 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5a21e92c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:22:21 |WARN  |http-nio-8081-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1d2937c6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:48:48 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@23932891 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:48:48 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2766450 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:48:48 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@72f20dd0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:48:48 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3849b960 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:48:48 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2953e56f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:48:48 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@18b650f1 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:48:48 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7a4852ba (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:48:48 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@f3f762a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:48:48 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@39f1923f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:48:48 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@13ea6c28 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:58:22 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5ff58c10 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:58:22 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7ec47fa (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:58:22 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@34881344 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:58:22 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6fd52a69 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:58:22 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6cb2f4c7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:58:22 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@444c82ca (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:58:22 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@302aab34 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:58:22 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@766a493a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:58:22 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@d058ffc (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 14:58:22 |WARN  |http-nio-8081-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2d7f1644 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 15:02:34 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6ceed87a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 15:02:34 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6bb3ee6b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 15:02:34 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@62376a6a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 15:02:34 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@34bcd69d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 15:02:34 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2b293b24 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 15:02:34 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5f9d589c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 15:02:34 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6201d3f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 15:02:34 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@54fa2b58 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-26 15:02:34 |WARN  |http-nio-8081-exec-9 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@36e8daf8 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
