2021-01-23 09:11:52 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@e242d58 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 09:11:52 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2b6e605a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 09:11:52 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2d12c370 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 09:11:52 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@265e1507 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 09:11:52 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@9bfa279 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 09:11:52 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@518b7fa4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 09:11:52 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6a393fa6 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 09:11:52 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3c99f9cb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 09:11:52 |WARN  |http-nio-8081-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@48c1284b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-23 16:17:02 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
